id;total_population;total_male;total_female;potential_population
3471100001;8170;4041;4129;6618
3471100002;10540;5131;5409;8537
3471030003;11314;5516;5798;9164
3471070003;7304;3569;3735;5916
3471040004;8985;4392;4593;7278
3471110002;9401;4586;4815;7615
3471110001;7631;3709;3922;6181
3471110003;10893;5284;5609;8823
3471070001;4702;2319;2383;3809
3471050002;10008;4906;5102;8106
3471050001;11007;5363;5644;8916
3471130002;8100;3921;4179;6561
3471060001;12143;5804;6339;9836
3471120002;7760;3767;3993;6286
3471120001;12762;6245;6517;10337
3471070002;9220;4521;4699;7468
3471060004;2692;1337;1355;2181
